symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
GROWW,206.14,TOUCHED,5.07,above,216.6,206.14,205.36,206.14,204.57,0.763,62.5,0.029,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HINDUNILVR,2123.65,TOUCHED,-0.94,below,2103.6,2123.65,2127.1,2130.55,2123.65,0.324,63.3,0.015,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
AFCONS,293.46,TOUCHED,-0.39,below,292.3,293.46,294.22,294.98,293.46,0.515,63.6,0.024,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
IIFL,543.33,TOUCHED,-0.02,below,543.2,543.33,545.17,547.0,543.33,0.673,63.6,0.036,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
GESHIP,1423.10,TOUCHED,-2.04,below,1394.0,1423.1,1427.4,1431.7,1423.1,0.602,64.1,0.043,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
VTL,645.54,TOUCHED,-1.5,below,635.85,645.54,647.53,649.52,645.54,0.615,64.1,0.032,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
JPPOWER,16.78,TOUCHED,-0.06,inside,16.77,16.78,16.78,16.84,16.72,0.715,64.4,0.037,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
KIRLOSENG,2390.30,TOUCHED,0.79,above,2409.1,2390.3,2380.97,2390.3,2371.63,0.784,64.4,0.036,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TENNIND,571.24,TOUCHED,-0.87,below,566.3,571.24,573.33,575.42,571.24,0.73,64.4,0.01,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ACC,1369.40,TOUCHED,0.97,above,1382.7,1369.4,1366.9,1369.4,1364.4,0.366,64.9,0.033,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
VMM,114.62,TOUCHED,-0.63,below,113.9,114.62,114.96,115.3,114.62,0.592,64.9,0.028,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
CEATLTD,3756.50,TOUCHED,0.79,above,3786.0,3756.5,3744.27,3756.5,3732.03,0.653,65.5,0.04,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
DRREDDY,1239.60,TOUCHED,-0.89,below,1228.6,1239.6,1241.8,1244.0,1239.6,0.354,65.5,0.015,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HEG,572.35,TOUCHED,2.07,above,584.2,572.35,570.38,572.35,568.42,0.69,65.5,0.05,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
LT,3855.95,TOUCHED,-1.89,below,3782.9,3855.95,3863.2,3870.45,3855.95,0.375,65.5,0.024,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
COFORGE,1539.62,TOUCHED,-0.42,below,1533.2,1539.62,1544.73,1549.85,1539.62,0.662,65.8,0.028,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
DEVYANI,111.72,TOUCHED,-0.46,below,111.21,111.72,112.09,112.46,111.72,0.657,65.8,0.04,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TRIDENT,25.35,TOUCHED,-0.02,below,25.34,25.35,25.41,25.47,25.35,0.512,65.8,0.026,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ITCHOTELS,183.12,TOUCHED,0.23,inside,183.55,183.12,183.12,183.65,182.6,0.575,65.9,0.037,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
APLAPOLLO,1813.15,TOUCHED,0.22,above,1817.2,1813.15,1808.43,1813.15,1803.72,0.522,66.0,0.017,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
GODREJPROP,2114.83,TOUCHED,-0.46,below,2105.2,2114.83,2122.27,2129.7,2114.83,0.701,66.0,0.045,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
SARDAEN,496.13,TOUCHED,-0.35,inside,494.4,496.13,496.13,497.93,494.34,0.722,66.0,0.038,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
CARTRADE,2909.08,TOUCHED,-3.35,below,2811.5,2909.08,2923.17,2937.25,2909.08,0.964,66.3,0.043,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
DCMSHRIRAM,1031.78,TOUCHED,-0.71,below,1024.5,1031.78,1035.27,1038.75,1031.78,0.673,66.3,0.024,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HINDCOPPER,493.87,TOUCHED,-0.62,below,490.8,493.87,496.1,498.32,493.87,0.897,66.3,0.032,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
INTELLECT,760.85,TOUCHED,-0.85,below,754.4,760.85,763.9,766.95,760.85,0.799,66.3,0.042,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
BAJAJHLDNG,10553.00,TOUCHED,-0.2,inside,10532.0,10553.0,10553.0,10586.5,10519.5,0.635,66.6,0.026,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
